"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0041150294313909,0.497071757591153,0.589,0.396,1,"1","RTRAF"
0.00414029206835309,0.365397008909358,0.622,0.388,1,"1","C4orf3"
0.00416420424156629,0.263987502924935,0.978,0.786,1,"1","HLA-E"
0.00417464787075881,0.412988939521953,0.6,0.382,1,"1","SCAND1"
0.00419812722378803,0.32120390605857,0.889,0.741,1,"1","MCL1"
0.004202315334662,0.547933840417712,0.4,0.227,1,"1","UQCRFS1"
0.00425247844695245,0.372897463757509,0.767,0.553,1,"1","TRIR"
0.00428371399467249,0.485644313051335,0.444,0.265,1,"1","HCLS1"
0.00450324544651772,0.393386604369908,0.633,0.436,1,"1","TOMM6"
0.00450928865140028,0.546282790803026,0.344,0.195,1,"1","LAMP2"
0.00451199324830653,0.623614252951857,0.311,0.166,1,"1","RAB8A"
0.00455029271162672,0.332383789134647,0.789,0.551,1,"1","CDV3"
0.00462302007823626,0.275906239808637,0.311,0.16,1,"1","USP9Y"
0.00469470613879815,0.60902861758547,0.311,0.166,1,"1","DECR1"
0.00470609244728295,0.594699567085006,0.367,0.211,1,"1","LAP3"
0.00473367515621489,0.336415313098048,0.367,0.198,1,"1","NDUFA7"
0.00476799468942452,0.255999494306725,0.956,0.797,1,"1","SRP14"
0.00484495156659568,0.612972303673921,0.389,0.219,1,"1","SUPT4H1"
0.00486324049543189,0.85495040983909,0.267,0.139,1,"1","SZRD1"
0.00489464939664276,0.502486294542068,0.344,0.193,1,"1","CHIC2"
0.00498707295886554,0.295104450945521,0.356,0.19,1,"1","MED13"
0.00503348280576545,0.356859546572479,0.367,0.209,1,"1","TAOK3"
0.00503848294931193,0.432254663302477,0.4,0.225,1,"1","USF2"
0.00517508593825127,0.631385151996191,0.267,0.136,1,"1","MTF2"
0.00520642016982748,0.372205639149641,0.378,0.211,1,"1","ACADVL"
0.00526332063150851,0.443300661752299,0.589,0.404,1,"1","DDT"
0.00531644933004967,0.408241325852113,0.567,0.358,1,"1","PAK2"
0.00533327830456399,0.54561529649482,0.289,0.15,1,"1","THOC7"
0.00542738346403842,0.304628446767415,0.633,0.433,1,"1","ARL4C"
